,,,,,,,,,
,,CUADRO No.3 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito,,,,,,,
,,17 de noviembre de 2020,,,,,,,
,,,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
,,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,,,
,,,,Guatuso,,390,255,3,132
,,,,,Buenavista,33,22,0,11
,,,,,Cote,6,5,0,1
,,,,,Katira,49,29,1,19
,,,,,San Rafael,298,195,2,101
,,,,,Sin información de distrito,4,4,0,0
,,,,Los Chiles,,480,424,8,48
,,,,,Caño Negro,5,4,0,1
,,,,,El Amparo,67,57,2,8
,,,,,Los Chiles,367,330,6,31
,,,,,San Jorge,17,9,0,8
,,,,,Sin información de distrito,24,24,0,0
,,,,Naranjo,,1101,376,12,713
,,,,,Cirrí Sur,113,35,1,77
,,,,,El Rosario,102,34,0,68
,,,,,Naranjo,452,177,4,271
,,,,,Palmitos,74,31,0,43
,,,,,San Jerónimo,132,32,2,98
,,,,,San José,45,21,1,23
,,,,,San Juan,95,14,4,77
,,,,,San Miguel,86,31,0,55
,,,,,Sin información de distrito,2,1,0,1
,,,,Orotina,,491,340,5,146
,,,,,Coyolar,99,67,0,32
,,,,,El Mastate,46,29,1,16
,,,,,Hacienda Vieja,37,32,0,5
,,,,,La Ceiba,21,16,0,5
,,,,,Orotina,285,193,4,88
,,,,,Sin información de distrito,3,3,0,0
,,,,Palmares,,817,291,10,516
,,,,,Buenos Aires,154,55,0,99
,,,,,Candelaria,42,14,0,28
,,,,,Esquipulas,162,48,1,113
,,,,,La Granja,86,35,0,51
,,,,,Palmares,129,42,7,80
,,,,,Santiago,43,19,1,23
,,,,,Zaragoza,200,77,1,122
,,,,,Sin información de distrito,1,1,0,0
,,,,Poás,,763,599,10,154
,,,,,Carrillos,285,217,4,64
,,,,,Sabana Redonda,54,45,0,9
,,,,,San Juan,105,88,0,17
,,,,,San Pedro,231,179,1,51
,,,,,San Rafael,80,63,5,12
,,,,,Sin información de distrito,8,7,0,1
,,,,Río Cuarto,,421,107,3,311
,,,,,Río Cuarto,273,73,2,198
,,,,,Santa Isabel,50,13,0,37
,,,,,Santa Rita,97,21,1,75
,,,,,Sin información de distrito,1,0,0,1
,,,,San Carlos,,5115,3462,40,1613
,,,,,Aguas Zarcas,634,450,4,180
,,,,,Buenavista,4,0,0,4
,,,,,Cutris,253,148,1,104
,,,,,Florencia,421,266,1,154
,,,,,La Fortuna,748,376,2,370
,,,,,La Palmera,174,119,0,55
,,,,,La Tigra,134,100,1,33
,,,,,Monterrey,75,25,0,50
,,,,,Pital,658,553,10,95
,,,,,Pocosol,335,224,3,108
,,,,,Quesada,1388,980,16,392
,,,,,Venado,25,2,0,23
,,,,,Venecia,240,193,2,45
,,,,,Sin información de distrito,26,26,0,0
,,,,San Mateo,,61,44,1,16
,,,,,Desmonte,3,2,0,1
,,,,,Jesús María,12,8,0,4
,,,,,Labrador,11,9,0,2
,,,,,San Mateo,34,24,1,9
,,,,,Sin información de distrito,1,1,0,0
,,,,San Ramón,,1444,564,11,869
,,,,,Alfaro,94,34,3,57
,,,,,Ángeles,74,22,1,51
,,,,,Concepción,36,6,0,30
,,,,,Peñas Blancas,248,119,2,127
,,,,,Piedades Norte,103,43,1,59
,,,,,Piedades Sur,45,9,1,35
,,,,,San Isidro,72,44,0,28
,,,,,San Juan,225,87,1,137
,,,,,San Lorenzo,4,1,0,3
,,,,,San Rafael,116,43,0,73
,,,,,San Ramón,304,107,1,196
,,,,,Santiago,87,32,1,54
,,,,,Volio,28,9,0,19
,,,,,Zapotal,0,0,0,0
,,,,,Sin información de distrito,8,8,0,0
,,,,Sarchí,,310,66,2,242
,,,,,Rodríguez,23,4,0,19
,,,,,San Pedro,28,8,0,20
,,,,,Sarchí Norte,162,32,0,130
,,,,,Sarchí Sur,92,21,2,69
,,,,,Toro Amarillo,5,1,0,4
,,,,,Sin información de distrito,0,0,0,0
,,,,Upala,,488,347,6,135
,,,,,Aguas Claras,22,17,0,5
,,,,,Bijagua,31,19,0,12
,,,,,Canalete,26,16,0,10
,,,,,Delicias,82,59,0,23
,,,,,Dos Ríos,3,1,0,2
,,,,,San José O Pizote,93,78,1,14
,,,,,Upala,205,144,5,56
,,,,,Yolillal,25,12,0,13
,,,,,Sin información de distrito,1,1,0,0
,,,,Zarcero,,374,57,1,316
,,,,,Brisas,37,17,0,20
,,,,,Guadalupe,10,1,0,9
,,,,,Laguna,50,9,0,41
,,,,,Palmira,51,4,0,47
,,,,,Tapesco,61,7,0,54
,,,,,Zapote,15,4,0,11
,,,,,Zarcero,150,15,1,134
,,,,,Sin información de distrito,0,0,0,0
,,,,Sin información de Cantón,,0,0,0,0
,,Cartago,,,,8815,5261,98,3456
,,,,Alvarado,,149,107,2,40
,,,,,Capellades,23,18,0,5
,,,,,Cervantes,61,45,1,15
,,,,,Pacayas,65,44,1,20
,,,,,Sin información de distrito,0,0,0,0
,,,,Cartago,,2640,1374,29,1237
,,,,,Aguacaliente o San Francisco,516,271,2,243
,,,,,Carmen,329,206,3,120
,,,,,Corralillo,129,87,0,42
,,,,,Dulce Nombre,158,87,2,69
,,,,,Guadalupe o Arenilla,238,80,4,154
,,,,,Llano Grande,123,60,2,61
,,,,,Occidental,154,85,4,65
,,,,,Oriental,276,137,6,133
,,,,,Quebradilla,137,36,0,101
,,,,,San Nicolás,443,268,3,172
,,,,,Tierra Blanca,121,41,3,77
,,,,,Sin información de distrito,16,16,0,0
,,,,El Guarco,,768,329,7,432
,,,,,El Tejar,509,216,3,290
,,,,,Patio de Agua,2,0,0,2
,,,,,San Isidro,144,60,3,81
,,,,,Tobosi,111,51,1,59
,,,,,Sin información de distrito,2,2,0,0
,,,,Jiménez,,128,102,1,25
,,,,,Juan Viñas,44,34,0,10
,,,,,Pejibaye,49,38,1,10
,,,,,Tucurrique,35,30,0,5
,,,,,Sin información de distrito,0,0,0,0
,,,,La Unión,,2980,1814,38,1128
,,,,,Concepción,446,310,3,133
,,,,,Dulce Nombre,360,199,9,152
,,,,,Río Azul,397,195,4,198
,,,,,San Diego,615,395,8,212
,,,,,San Juan,245,143,4,98
,,,,,San Rafael,395,238,2,155
,,,,,San Ramón,85,64,0,21
,,,,,Tres Ríos,429,265,8,156
,,,,,Sin información de distrito,8,5,0,3
,,,,Oreamuno,,1095,764,8,323
,,,,,Cipreses,72,54,0,18
,,,,,Cot,337,259,2,76
,,,,,Potrero Cerrado,64,45,1,18
,,,,,San Rafael,554,360,4,190
,,,,,Santa Rosa,66,44,1,21
,,,,,Sin información de distrito,2,2,0,0
,,,,Paraíso,,631,491,8,132
,,,,,Cachí,78,54,1,23
,,,,,Llanos de Santa Lucía,199,169,2,28
,,,,,Orosi,71,54,2,15
,,,,,Paraíso,239,181,1,57
,,,,,Santiago,43,32,2,9
,,,,,Sin información de distrito,1,1,0,0
,,,,Turrialba,,424,280,5,139
,,,,,Chirripó,27,6,0,21
,,,,,La Isabel,36,31,0,5
,,,,,La Suiza,55,43,1,11
,,,,,Pavones,17,14,0,3
,,,,,Peralta,2,2,0,0
,,,,,Santa Cruz,12,10,1,1
