,,,,,,,,,,
,"CUADRO No.7-2 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito",,,,,,,,,Volver al Índice
,1,"de julio,2020",,,,,,,,
,,,,CASOS COVID-19,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS,,
,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*,,
,,,,,,,,,,
,,,Santa Bárbara,,16,6,0,10,,
,,,,Sin información de distrito,0,0,0,0,,
,,,,Jesús,4,1,0,3,,
,,,,Purabá,2,2,0,0,,
,,,,San Juan,2,0,0,2,,
,,,,San Pedro,1,0,0,1,,
,,,,Santa Bárbara,3,2,0,1,,
,,,,Santo Domingo,4,1,0,3,,
,,,Santo Domingo,,22,12,0,10,,
,,,,Pará,2,0,0,2,,
,,,,Paracito,0,0,0,0,,
,,,,San Miguel,3,2,0,1,,
,,,,San Vicente,3,1,0,2,,
,,,,Santa Rosa,3,1,0,2,,
,,,,Santo Domingo,8,6,0,2,,
,,,,Santo Tomás,1,1,0,0,,
,,,,Tures,2,1,0,1,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Sarapiquí,,10,4,0,6,,
,,,,Cureña,0,0,0,0,,
,,,,La Virgen,1,1,0,0,,
,,,,Las Horquetas,6,0,0,6,,
,,,,Llanuras del Gaspar,0,0,0,0,,
,,,,Puerto Viejo,3,3,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,Guanacaste,,,,288,127,1,160,,
,,,Abangares,,21,20,0,1,,
,,,,Colorado,0,0,0,0,,
,,,,Las Juntas,20,19,0,1,,
,,,,San Juan,0,0,0,0,,
,,,,Sierra,1,1,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Bagaces,,24,16,0,8,,
,,,,Bagaces,18,11,0,7,,
,,,,La Fortuna,4,4,0,0,,
,,,,Mogote,1,1,0,0,,
,,,,Río Naranjo,1,0,0,1,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Cañas,,33,24,0,9,,
,,,,Bebedero,2,2,0,0,,
,,,,Cañas,24,18,0,6,,
