gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2013723103	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/21125362	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.752331	-82.795292	31227.0						2019-01-14T10:25:00	14	1	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	21125362			2019-03-10T21:37:46	CC_BY_NC_4_0	amantedarmanin	amantedarmanin			2020-05-08T02:27:29.565Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2013697033	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/21047127	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.768468	-82.686116	31227.0						2019-01-14T07:15:00	14	1	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	21047127			2019-03-08T09:06:00	CC_BY_NC_4_0	amantedarmanin	amantedarmanin			2020-05-08T02:26:46.949Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1990654347	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	La Tirimbina Rainforest Lodge und Umgebung				bb646dff-a905-4403-a49b-6d378c2cf0d9	10.41632	-84.125275	250.0						2019-01-24T00:00:00	24	1	2019	5959233	5959233	HUMAN_OBSERVATION	naturgucker	naturgucker	-1185729676				CC_BY_4_0		-1857906570			2020-03-01T11:56:34.340Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1990654004	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Boca Tapada u. Umgebung				bb646dff-a905-4403-a49b-6d378c2cf0d9	10.700946	-84.191093	250.0						2019-01-26T00:00:00	26	1	2019	5959233	5959233	HUMAN_OBSERVATION	naturgucker	naturgucker	1767062651				CC_BY_4_0		-1857906570			2020-03-01T11:56:33.906Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1990653939	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Boca Tapada u. Umgebung				bb646dff-a905-4403-a49b-6d378c2cf0d9	10.683614	-84.194611	25.0						2019-01-28T00:00:00	28	1	2019	5959233	5959233	HUMAN_OBSERVATION	naturgucker	naturgucker	-1232068457				CC_BY_4_0		-1857906570			2020-03-01T11:56:44.275Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1990576409	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/19843408	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Heredia			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.555889	-84.148836	31189.0						2019-01-07T08:53:00	7	1	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	19843408			2019-01-24T16:52:38	CC_BY_NC_4_0	Catalina Tong	Catalina Tong			2020-05-08T02:26:20.528Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1990526106	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/19712682	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.520224	-83.725522	31189.0						2006-01-10T08:03:00	10	1	2006	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	19712682			2019-01-18T18:40:22	CC_BY_NC_4_0	guylafond	guylafond			2020-05-08T02:28:01.611Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1984206004	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	La Selva Biological Station				bb646dff-a905-4403-a49b-6d378c2cf0d9	10.422398	-84.020523	250.0						2016-11-11T00:00:00	11	11	2016	5959233	5959233	HUMAN_OBSERVATION	naturgucker	naturgucker	580294879				CC_BY_4_0		-85323026			2020-03-01T11:56:38.561Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1978856717	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/19228775	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.491373	-83.546882	31189.0						2018-01-07T05:58:00	7	1	2018	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	19228775			2018-12-26T14:15:30	CC_BY_NC_4_0	jurga_li	jurga_li			2020-05-08T02:28:05.782Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1901065628	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/16187917	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.403332	-83.597633	31189.0						2018-02-21T00:00:00	21	2	2018	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	16187917			2018-09-05T14:00:08	CC_BY_NC_4_0	Nido Paras	Nido Paras			2020-05-08T02:28:07.856Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
